# lon lat E[km] N[km] Dep[km] strike dip Area ID
140.741 36.662 1.000 1.000 63.940 194.000 29.000 841.000 188
143.078 35.939 1.000 1.000 8.070 194.000 3.000 841.000 189
142.766 36.003 1.000 1.000 9.710 194.000 4.000 841.000 190
142.455 36.065 1.000 1.000 12.340 194.000 6.000 841.000 191
142.145 36.127 1.000 1.000 16.350 194.000 10.000 841.000 192
141.838 36.187 1.000 1.000 22.070 194.000 13.000 841.000 193
141.535 36.245 1.000 1.000 29.690 194.000 17.000 841.000 194
141.239 36.301 1.000 1.000 39.250 194.000 21.000 841.000 195
140.950 36.355 1.000 1.000 50.710 194.000 25.000 841.000 196
140.670 36.407 1.000 1.000 63.940 194.000 29.000 841.000 197
142.999 35.686 1.000 1.000 8.070 194.000 3.000 841.000 198
142.688 35.749 1.000 1.000 9.710 194.000 4.000 841.000 199
142.378 35.812 1.000 1.000 12.340 194.000 6.000 841.000 200
142.069 35.873 1.000 1.000 16.350 194.000 10.000 841.000 201
141.763 35.933 1.000 1.000 22.070 194.000 13.000 841.000 202
141.461 35.991 1.000 1.000 29.690 194.000 17.000 841.000 203
141.166 36.047 1.000 1.000 39.250 194.000 21.000 841.000 204
140.878 36.101 1.000 1.000 50.710 194.000 25.000 841.000 205
140.599 36.152 1.000 1.000 63.940 194.000 29.000 841.000 206
142.921 35.432 1.000 1.000 8.070 194.000 3.000 841.000 207
142.611 35.495 1.000 1.000 9.710 194.000 4.000 841.000 208
142.302 35.558 1.000 1.000 12.340 194.000 6.000 841.000 209
141.994 35.619 1.000 1.000 16.350 194.000 10.000 841.000 210
141.689 35.678 1.000 1.000 22.070 194.000 13.000 841.000 211
141.388 35.736 1.000 1.000 29.690 194.000 17.000 841.000 212
141.093 35.792 1.000 1.000 39.250 194.000 21.000 841.000 213
140.806 35.846 1.000 1.000 50.710 194.000 25.000 841.000 214
140.528 35.897 1.000 1.000 63.940 194.000 29.000 841.000 215
